"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"212",0,2,-2,2,2,2,1,2,-2,-2
"213",0,2,-2,2,2,2,0,2,-2,-2
"214",0,2,-2,2,2,2,0,2,-2,-2
"215",0,2,-2,2,2,2,0,2,-2,-2
"216",0,2,-2,2,2,2,0,2,-2,-2
"217",0,2,-2,2,1,2,0,2,-2,-2
"218",0,1,0,2,1,2,1,2,-2,-2
"219",0,2,0,2,2,3,1,2,-2,-2
"220",0,2,-2,2,2,2,1,2,-2,-2
"221",0,2,0,2,2,2,1,2,-2,-2
"222",0,2,0,2,2,2,0,2,-2,-1
"223",2,2,0,2,2,2,-2,2,-2,-2
"224",2,2,0,2,2,0,-2,1,-2,-1
"225",2,2,-1,2,3,0,-2,2,-2,-1
"226",2,1,-1,2,2,0,-2,2,-2,-1
"227",0,1,-1,2,1,0,-2,2,-2,-1
"228",0,1,-1,2,3,0,-2,1,-3,-2
"229",2,1,0,2,2,0,-2,2,-3,-2
"230",2,2,0,2,2,0,-2,2,-2,-1
"231",2,2,0,2,0,0,-2,2,-2,-1
"232",2,2,2,0,0,-2,-2,2,-2,-1
"233",1,2,0,0,1,-2,-2,2,-2,-1
"234",1,2,0,0,-2,-2,-1,2,-2,-2
"235",2,2,0,0,0,-1,-1,2,-2,-2
"236",2,0,0,1,-2,-1,-1,2,-2,-1
"237",2,1,0,1,-1,-1,-1,2,-2,-1
"238",0,3,0,1,-1,-1,-1,3,-2,-1
"239",1,2,-1,0,0,-1,-1,3,-2,-2
"240",1,2,-2,0,-2,-2,-1,1,-2,-2
"241",1,0,-1,0,0,-2,-1,1,-2,-2
"242",1,0,-1,0,-1,-2,-1,1,-2,-2
"243",2,0,-2,0,-1,-2,-1,1,-2,-2
"244",1,0,-2,0,1,-2,-1,1,-2,-2
"245",1,0,-2,0,-2,-2,-1,-1,-2,-2
"246",2,0,-2,-2,-2,-2,-1,-1,-2,-2
"247",2,0,-2,-2,-2,-2,-1,-1,-2,-2
"248",2,0,-2,-2,-2,-2,-1,-1,-2,-2
"249",2,0,-2,-2,-2,-3,-1,-1,-2,-2
